study,seed,criterion,truth,selected,correct
ecology_rm,14,gic_eff,rm,rm,1
ecology_rm,14,gic_vol_050,rm,rm,1
ecology_rm,14,ogic_e,rm,rm,1
ecology_rm,15,aic,rm,rm,1
ecology_rm,15,aicc,rm,rm,1
ecology_rm,15,bic,rm,rm,1
ecology_rm,15,gic_eff,rm,rm,1
ecology_rm,15,gic_vol_050,rm,rm,1
ecology_rm,15,ogic_e,rm,rm,1
ecology_rm,16,aic,rm,rm,1
ecology_rm,16,aicc,rm,rm,1
ecology_rm,16,bic,rm,rm,1
ecology_rm,16,gic_eff,rm,rm,1
ecology_rm,16,gic_vol_050,rm,rm,1
ecology_rm,16,ogic_e,rm,rm,1
ecology_rm,17,aic,rm,rm,1
ecology_rm,17,aicc,rm,rm,1
ecology_rm,17,bic,rm,rm,1
ecology_rm,17,gic_eff,rm,rm,1
ecology_rm,17,gic_vol_050,rm,rm,1
ecology_rm,17,ogic_e,rm,rm,1
ecology_rm,18,aic,rm,rm,1
ecology_rm,18,aicc,rm,rm,1
ecology_rm,18,bic,rm,rm,1
ecology_rm,18,gic_eff,rm,rm,1
ecology_rm,18,gic_vol_050,rm,rm,1
ecology_rm,18,ogic_e,rm,rm,1
ecology_rm,19,aic,rm,rm,1
ecology_rm,19,aicc,rm,rm,1
ecology_rm,19,bic,rm,rm,1
ecology_rm,19,gic_eff,rm,rm,1
ecology_rm,19,gic_vol_050,rm,rm,1
ecology_rm,19,ogic_e,rm,rm,1
ecology_rm,20,aic,rm,rm,1
ecology_rm,20,aicc,rm,rm,1
ecology_rm,20,bic,rm,rm,1
ecology_rm,20,gic_eff,rm,rm,1
ecology_rm,20,gic_vol_050,rm,rm,1
ecology_rm,20,ogic_e,rm,rm,1
ecology_rm,21,aic,rm,rm,1
ecology_rm,21,aicc,rm,rm,1
ecology_rm,21,bic,rm,rm,1
ecology_rm,21,gic_eff,rm,rm,1
ecology_rm,21,gic_vol_050,rm,rm,1
ecology_rm,21,ogic_e,rm,rm,1
ecology_rm,22,aic,rm,rm,1
ecology_rm,22,aicc,rm,rm,1
ecology_rm,22,bic,rm,rm,1
ecology_rm,22,gic_eff,rm,rm,1
ecology_rm,22,gic_vol_050,rm,rm,1
ecology_rm,22,ogic_e,rm,rm,1
ecology_rm,23,aic,rm,rm,1
ecology_rm,23,aicc,rm,rm,1
ecology_rm,23,bic,rm,rm,1
ecology_rm,23,gic_eff,rm,rm,1
ecology_rm,23,gic_vol_050,rm,rm,1
ecology_rm,23,ogic_e,rm,rm,1
ecology_rm,24,aic,rm,rm,1
ecology_rm,24,aicc,rm,rm,1
ecology_rm,24,bic,rm,rm,1
ecology_rm,24,gic_eff,rm,rm,1
ecology_rm,24,gic_vol_050,rm,rm,1
ecology_rm,24,ogic_e,rm,rm,1
ecology_rm,25,aic,rm,rm,1
ecology_rm,25,aicc,rm,rm,1
ecology_rm,25,bic,rm,rm,1
ecology_rm,25,gic_eff,rm,rm,1
ecology_rm,25,gic_vol_050,rm,rm,1
ecology_rm,25,ogic_e,rm,rm,1
ecology_rm,26,aic,rm,rm,1
ecology_rm,26,aicc,rm,rm,1
ecology_rm,26,bic,rm,rm,1
ecology_rm,26,gic_eff,rm,rm,1
ecology_rm,26,gic_vol_050,rm,rm,1
ecology_rm,26,ogic_e,rm,rm,1
ecology_rm,27,aic,rm,rm,1
ecology_rm,27,aicc,rm,rm,1
ecology_rm,27,bic,rm,rm,1
ecology_rm,27,gic_eff,rm,rm,1
ecology_rm,27,gic_vol_050,rm,rm,1
ecology_rm,27,ogic_e,rm,rm,1
ecology_rm,28,aic,rm,rm,1
ecology_rm,28,aicc,rm,rm,1
ecology_rm,28,bic,rm,rm,1
ecology_rm,28,gic_eff,rm,rm,1
ecology_rm,28,gic_vol_050,rm,rm,1
ecology_rm,28,ogic_e,rm,rm,1
ecology_rm,29,aic,rm,rm,1
ecology_rm,29,aicc,rm,rm,1
ecology_rm,29,bic,rm,rm,1
ecology_rm,29,gic_eff,rm,rm,1
ecology_rm,29,gic_vol_050,rm,rm,1
ecology_rm,29,ogic_e,rm,rm,1
fhn_standard,0,aic,fhn,fhn,1
fhn_standard,0,aicc,fhn,fhn,1
fhn_standard,0,bic,fhn,fhn,1
fhn_standard,0,gic_eff,fhn,fhn,1
fhn_standard,0,gic_vol_050,fhn,fhn,1
fhn_standard,0,ogic_e,fhn,fhn,1
fhn_standard,1,aic,fhn,fhn,1
fhn_standard,1,aicc,fhn,fhn,1
fhn_standard,1,bic,fhn,fhn,1
fhn_standard,1,gic_eff,fhn,fhn,1
fhn_standard,1,gic_vol_050,fhn,fhn,1
fhn_standard,1,ogic_e,fhn,fhn,1
fhn_standard,2,aic,fhn,fhn,1
fhn_standard,2,aicc,fhn,fhn,1
fhn_standard,2,bic,fhn,fhn,1
fhn_standard,2,gic_eff,fhn,fhn,1
fhn_standard,2,gic_vol_050,fhn,fhn,1
