n_times,noise,trajectories,seed,criterion,truth,selected,correct,selection_gap,support_entropy
10,0.005,2,17,gic_pred,ude_sir_h2,ude_sir_h2,1,31.589798301868882,2.3223307574183274e-06
10,0.005,2,17,gic_evid,ude_sir_h2,ude_sir_h2,1,11.907046412372182,0.01801264061093733
10,0.005,2,17,gic_eff_logn,ude_sir_h2,ude_sir_h2,1,28.997961616531555,7.826332217706572e-06
10,0.005,2,18,aic,ude_sir_h2,ude_sir_h2,1,16.004222171469138,0.0030561759225918015
10,0.005,2,18,aicc,ude_sir_h2,tv_sir,0,14.32911116186419,0.00631088630463598
10,0.005,2,18,bic,ude_sir_h2,ude_sir_h2,1,9.034096256591198,0.059671439117457245
10,0.005,2,18,gic_pred,ude_sir_h2,ude_sir_h2,1,21.67249039391902,0.00028707618119037085
10,0.005,2,18,gic_evid,ude_sir_h2,ude_sir_h2,1,5.209801738110016,0.25058547362890754
10,0.005,2,18,gic_eff_logn,ude_sir_h2,ude_sir_h2,1,22.26610172232084,0.00031303691725556305
10,0.005,2,19,aic,ude_sir_h2,ude_sir_h2,1,13.43463857870816,0.009325684412818405
10,0.005,2,19,aicc,ude_sir_h2,tv_sir,0,16.89869475462517,0.0020221289414242296
10,0.005,2,19,bic,ude_sir_h2,ude_sir_h2,1,6.46451266383022,0.16143731337080897
10,0.005,2,19,gic_pred,ude_sir_h2,ude_sir_h2,1,22.489746768001737,0.0001600900909366193
10,0.005,2,19,gic_evid,ude_sir_h2,ude_sir_h2,1,4.716691127458645,0.29413974137015786
10,0.005,2,19,gic_eff_logn,ude_sir_h2,ude_sir_h2,1,20.027852585425094,0.0004930956955941024
10,0.005,4,0,aic,ude_sir_h2,ude_sir_h2,1,62.78191601949189,7.542597256312074e-13
10,0.005,4,0,aicc,ude_sir_h2,ude_sir_h2,1,70.15334459092045,2.1150058196301466e-14
10,0.005,4,0,bic,ude_sir_h2,ude_sir_h2,1,67.84855438183371,6.449320381843868e-14
10,0.005,4,0,gic_pred,ude_sir_h2,ude_sir_h2,1,60.275571093611234,2.538672671052037e-12
10,0.005,4,0,gic_evid,ude_sir_h2,ude_sir_h2,1,140.8562596136082,1.8248836186062108e-29
10,0.005,4,0,gic_eff_logn,ude_sir_h2,ude_sir_h2,1,63.22575223083177,6.082638032105331e-13
10,0.005,4,1,aic,ude_sir_h2,ude_sir_h2,1,94.10202706408819,1.7321019001895366e-19
10,0.005,4,1,aicc,ude_sir_h2,ude_sir_h2,1,101.47345563551676,4.6842658366931885e-21
10,0.005,4,1,bic,ude_sir_h2,ude_sir_h2,1,99.16866542643001,1.4492469234563374e-20
10,0.005,4,1,gic_pred,ude_sir_h2,ude_sir_h2,1,88.33795984059446,2.902505949974933e-18
10,0.005,4,1,gic_evid,ude_sir_h2,ude_sir_h2,1,139.49936348545992,3.56156057281151e-29
10,0.005,4,1,gic_eff_logn,ude_sir_h2,ude_sir_h2,1,88.53719084999122,2.63323141705053e-18
10,0.005,4,2,aic,ude_sir_h2,ude_sir_h2,1,81.43007202145438,8.461344027923818e-17
10,0.005,4,2,aicc,ude_sir_h2,ude_sir_h2,1,88.80150059288295,2.314139113863756e-18
10,0.005,4,2,bic,ude_sir_h2,ude_sir_h2,1,86.4967103837962,7.135880752203819e-18
10,0.005,4,2,gic_pred,ude_sir_h2,ude_sir_h2,1,74.92296646969308,2.0149743211278633e-15
10,0.005,4,2,gic_evid,ude_sir_h2,ude_sir_h2,1,167.21279845875603,4.0967709432425785e-35
10,0.005,4,2,gic_eff_logn,ude_sir_h2,ude_sir_h2,1,74.49474639597463,2.4818012849006512e-15
10,0.005,4,3,aic,ude_sir_h2,ude_sir_h2,1,55.43687546728444,2.6314651506562645e-11
10,0.005,4,3,aicc,ude_sir_h2,ude_sir_h2,1,62.808304038713004,7.445380821402175e-13
10,0.005,4,3,bic,ude_sir_h2,ude_sir_h2,1,60.50351382962626,2.2736252012816505e-12
10,0.005,4,3,gic_pred,ude_sir_h2,ude_sir_h2,1,52.29149732000104,1.1988027574638147e-10
10,0.005,4,3,gic_evid,ude_sir_h2,ude_sir_h2,1,152.22713009620844,8.017031536107084e-32
10,0.005,4,3,gic_eff_logn,ude_sir_h2,ude_sir_h2,1,54.70205341815986,3.7511920227763275e-11
