schema_version,protocol_hash,scenario,seed,sample,dimension,rank,statistic,log_information_volume,objective,parameter_error,wall_seconds
2.0,13066be19a18391e,early_seir_infected_only,86,calibration,3,3,23.093501941525307,5.534961674301563,-40.60583370917152,1.1909743249678495,4.374984199996106
2.0,13066be19a18391e,early_seir_infected_only,87,calibration,3,3,67.4079356050243,7.121673204563478,-40.057506823156025,1.3277554239637317,4.315329700009897
2.0,13066be19a18391e,early_seir_infected_only,88,calibration,3,3,15.726542856065862,8.855025974818815,-43.309801627836855,1.0445127517480328,4.309739300006186
2.0,13066be19a18391e,early_seir_infected_only,89,calibration,3,2,144.23991732683305,4.994767659722314,-37.88485074687917,2.363341220920971,4.338951400000951
2.0,13066be19a18391e,early_seir_infected_only,90,calibration,3,3,11.656127098907561,6.946872873045185,-42.467578103385016,0.85073825663261,4.293016600000556
2.0,13066be19a18391e,early_seir_infected_only,91,calibration,3,2,19.343978443384483,5.766406582169496,-41.016195787093565,1.3348629688932492,4.341230199992424
2.0,13066be19a18391e,early_seir_infected_only,92,calibration,3,2,68.6144687535772,5.78446295882563,-39.97598400274015,1.8727659537224717,4.348185399998329
2.0,13066be19a18391e,early_seir_infected_only,93,calibration,3,2,35.039895100598315,5.339133973240506,-44.05722486385746,1.7201666325426646,4.313677199999802
2.0,13066be19a18391e,early_seir_infected_only,94,calibration,3,3,4.365510466100542,6.348599116815771,-36.01696049065048,0.6161153700532555,4.357467900001211
2.0,13066be19a18391e,early_seir_infected_only,95,calibration,3,2,7.6845379494292665,6.364457395438721,-44.46837521712734,0.8192454411350263,4.276519899998675
2.0,13066be19a18391e,early_seir_infected_only,96,calibration,3,2,34.90182468698878,4.288786338280209,-44.208057386315744,1.6424378311586254,4.310481499996968
2.0,13066be19a18391e,early_seir_infected_only,97,calibration,3,1,84.37822607213712,6.29574863008207,-43.068523025717646,2.218203002288713,4.328031400000327
2.0,13066be19a18391e,early_seir_infected_only,98,calibration,3,3,56.5252235308364,9.084222134396978,-42.82267038836348,1.2433333948370733,4.311013599988655
2.0,13066be19a18391e,early_seir_infected_only,99,calibration,3,2,68.07964777255722,4.0424906560659615,-41.59452239722369,2.0565362416504525,4.328083300002618
2.0,13066be19a18391e,early_seir_infected_only,100,calibration,3,2,136.69647504998693,9.090856855851843,-37.026543828926364,1.9791662640367975,6.193361500016181
2.0,13066be19a18391e,early_seir_infected_only,101,calibration,3,1,73.68801581171286,6.31513838022402,-41.71702063062735,2.1074824304226656,5.670189600001322
2.0,13066be19a18391e,early_seir_infected_only,102,calibration,3,2,26.874010200965337,7.005131434069426,-44.218365596227336,1.2591910902609527,5.684774499997729
2.0,13066be19a18391e,early_seir_infected_only,103,calibration,3,2,23.808197911414627,5.7995637989599995,-42.71800689689758,1.63696502358285,5.527445899992017
2.0,13066be19a18391e,early_seir_infected_only,104,calibration,3,1,73.91625773884834,6.318439671315504,-38.43709632386993,2.1252293548338437,5.118975899997167
2.0,13066be19a18391e,early_seir_infected_only,105,calibration,3,2,34.61361161989588,8.041864267728776,-38.145249383963645,1.5520916985916233,4.9869187000149395
2.0,13066be19a18391e,early_seir_infected_only,106,calibration,3,2,1.7940871048049942,6.47744359433705,-42.8805753681093,0.6520858252615827,4.984656800021185
2.0,13066be19a18391e,early_seir_infected_only,107,calibration,3,2,13.29396237005082,5.810195604873337,-44.389806894068755,1.2238011461797382,4.986818400007905
2.0,13066be19a18391e,early_seir_infected_only,108,calibration,3,3,42.105235893214626,7.51757638341136,-40.76307751517335,1.055096085613203,4.958446199976606
2.0,13066be19a18391e,early_seir_infected_only,109,calibration,3,3,80.91396108180359,7.889918416233945,-40.86862416109636,1.5943707163543759,4.8737831999897026
2.0,13066be19a18391e,early_seir_infected_only,110,calibration,3,2,76.37736351934879,5.460612004684712,-42.293001093800946,2.0248197033765525,5.050114500016207
2.0,13066be19a18391e,early_seir_infected_only,111,calibration,3,2,44.429869493792495,3.6075359162900837,-43.13963627555182,1.7708984303268551,4.946618299989495
2.0,13066be19a18391e,early_seir_infected_only,112,calibration,3,1,107.16142469341192,5.892443729077614,-35.48875202174319,2.5369110230152754,5.111069300008239
2.0,13066be19a18391e,early_seir_infected_only,113,calibration,3,2,42.373551337895336,5.166462766260102,-38.25158512640314,1.8561496797177521,5.116521499992814
2.0,13066be19a18391e,early_seir_infected_only,114,calibration,3,2,20.106578459110725,3.962822320444479,-41.592145048889336,1.352933382318629,5.069861399999354
2.0,13066be19a18391e,early_seir_infected_only,115,calibration,3,3,0.04489810040842129,5.646959054856405,-39.15227664654659,0.3475583481630151,5.034302000014577
2.0,13066be19a18391e,early_seir_infected_only,116,calibration,3,3,2.404785392155178,5.565858712911436,-41.53768390851621,0.7575315161661834,5.029438700003084
2.0,13066be19a18391e,early_seir_infected_only,117,calibration,3,3,12.16668821862956,6.030607216516411,-42.984367235791034,0.9502375377812277,5.006858999986434
2.0,13066be19a18391e,early_seir_infected_only,118,calibration,3,2,42.28571491934444,8.346096545760258,-42.78498818982766,1.485933975684951,5.088378799991915
2.0,13066be19a18391e,early_seir_infected_only,119,calibration,3,2,75.84218057896173,8.081663284067996,-42.339738348233496,1.9030820679822762,5.064814600016689
2.0,13066be19a18391e,early_seir_infected_only,120,calibration,3,3,5.596917092621581,6.373885321337705,-43.864662109644975,0.9847224885183677,5.06319670000812
2.0,13066be19a18391e,early_seir_infected_only,121,calibration,3,3,0.2506534179334676,4.659491729607301,-42.659476143922525,0.7380109557688765,5.04088079999201
2.0,13066be19a18391e,early_seir_infected_only,122,calibration,3,2,3.058225784867496,6.179991943686211,-36.120021065259365,0.16995999182940655,4.947042100015096
2.0,13066be19a18391e,early_seir_infected_only,123,calibration,3,3,47.904501355604225,7.3514830824991195,-43.52338818853733,1.2430222695871163,5.007248699985212
2.0,13066be19a18391e,early_seir_infected_only,124,calibration,3,2,6.669061679537828,6.116183684139839,-40.38061053886214,0.8625089530352159,5.0068349999783095
2.0,13066be19a18391e,early_seir_infected_only,125,calibration,3,2,42.124210478153664,6.727580426702713,-40.32058035374209,1.741947345715468,5.015110700012883
2.0,13066be19a18391e,early_seir_infected_only,126,calibration,3,2,78.42025822207356,8.05631148364224,-40.48881962002649,1.9192236986061253,5.030640199984191
2.0,13066be19a18391e,early_seir_infected_only,127,calibration,3,2,1.3503128494016763,5.968091205170109,-40.71653443912567,0.449109867979151,4.904255899979034
2.0,13066be19a18391e,early_seir_infected_only,128,calibration,3,2,17.56981338974422,6.781615623590669,-39.12312839493768,1.2329543333330382,5.118437400000403
2.0,13066be19a18391e,early_seir_infected_only,129,calibration,3,2,24.70886928755975,6.271306435842391,-37.445231252055954,1.6869205269784555,5.199671000009403
2.0,13066be19a18391e,early_seir_infected_only,130,calibration,3,2,51.094802959292906,4.4711207702029,-40.72713507252001,1.8360398435988912,5.099736900010612
2.0,13066be19a18391e,early_seir_infected_only,131,calibration,3,2,25.232285756861305,5.73027037053558,-40.893961362114645,1.5507853900147763,5.130509999988135
2.0,13066be19a18391e,early_seir_infected_only,132,calibration,3,2,23.748212385241008,5.827233175137643,-42.77035756266069,1.571800958504114,5.110150299995439
2.0,13066be19a18391e,early_seir_infected_only,133,calibration,3,2,27.621529761880733,5.177502048178742,-42.42030379245719,1.4981447988309156,5.043763800000306
2.0,13066be19a18391e,early_seir_infected_only,134,calibration,3,2,41.925638438949186,4.936413598568256,-41.685630505090984,1.75011786663396,4.817633900005603
2.0,13066be19a18391e,early_seir_infected_only,135,calibration,3,2,83.68744310412131,3.452212483644183,-42.65904146132355,2.227776036252708,4.752729400002863
2.0,13066be19a18391e,early_seir_infected_only,136,calibration,3,1,58.500294524820305,5.984751426026551,-44.92192184120409,1.8873692054985853,4.807401900005061
2.0,13066be19a18391e,early_seir_infected_only,137,calibration,3,1,38.39625653515124,6.448281139229745,-45.818471651247165,1.6801057176134289,4.682976000010967
2.0,13066be19a18391e,early_seir_infected_only,138,calibration,3,3,2.4327013622083733,7.652803579862061,-42.060722731559466,0.7806360581308223,4.631320400018012
2.0,13066be19a18391e,early_seir_infected_only,139,calibration,3,1,231.67994391907456,6.439695523749512,-43.45844214617093,2.9984446528901962,4.802046900003916
2.0,13066be19a18391e,early_seir_infected_only,140,calibration,3,2,79.77834419283492,4.182185929110757,-37.22275355178475,2.2655543418549566,4.875249200005783
2.0,13066be19a18391e,early_seir_infected_only,141,calibration,3,2,6.378124384566412,6.260268054157026,-38.54470338391436,1.1799202244790583,4.834296400018502
2.0,13066be19a18391e,early_seir_infected_only,142,calibration,3,2,29.413052634084146,5.97488840938659,-42.29742235675262,1.6009604757935552,4.88220769999316
2.0,13066be19a18391e,early_seir_infected_only,143,calibration,3,2,6.100443342320922,6.695432584373151,-43.74654838966197,0.9082922265619577,4.808881700009806
2.0,13066be19a18391e,early_seir_infected_only,144,calibration,3,2,28.416272078353295,4.326423373778231,-39.19068267256229,1.5949242014819842,4.961050800018711
2.0,13066be19a18391e,early_seir_infected_only,145,calibration,3,2,8.308906823051037,6.999200753593794,-41.75644433474987,0.8043206418949607,4.787764700013213
