status,scenario,truth,candidate,candidate_label,seed,observation,noise,n_observations,dimension,objective,deviance,converged,iterations,wall_seconds,forecast_mse,blocked_validation,condition_information,jacobian_rank,aic,aicc,bic,waic_laplace,p_waic,ogic_p,ogic_e,d_obs,c_obs,prior_energy,gic_eff,gic_vol_025,gic_vol_050,gic_vol_100
ok,early_seir_infected_only,seir,sir,SIR,2,infected,0.02,16,2,-39.97038365877936,-80.5688441054349,True,162,9.80802670000412,0.00034705170844097046,-6.1634273661649885,8320.918096415298,2,-76.5688441054349,-75.64576718235799,-75.02366666095534,5.530584842821,42.06803970435712,-78.21061544748433,-72.23428505847816,1.179114328975287,7.706482259080565,0.6280767878761842,-77.2996450146867,-75.37302444991656,-73.44640388514642,-69.59316275560614
ok,early_seir_infected_only,seir,sir,SIR,3,infected,0.02,16,2,-39.769548960914484,-79.64525166472495,True,156,9.505040199990617,0.00300322271455716,-18.735469357739646,1113.5142705457679,2,-75.64525166472495,-74.72217474164803,-74.10007422024539,-66.7528276739821,6.216266014690069,-76.1925207169333,-70.24832815947867,1.726365473895822,9.290769762350289,0.10615374289597987,-74.85875022133726,-72.53605778074969,-70.21336534016211,-65.56798045898697
ok,early_seir_infected_only,seir,sir,SIR,4,infected,0.02,16,2,-33.689813634765834,-67.58189074126693,True,158,4.809438800002681,9.375282249046685e-05,-23.084113088819667,3950.311392400388,2,-63.58189074126693,-62.65881381819001,-62.03671329678737,148.07006113470882,105.90798691756633,-64.83718235780083,-59.15150310647578,1.372354191733052,8.228124163055888,0.20226347173526624,-63.776916986349384,-61.71988594558541,-59.662854904821444,-55.548792823293496
ok,early_seir_infected_only,seir,sir,SIR,5,infected,0.02,16,2,-39.38217061454325,-78.91470854024169,True,158,1.8299291000002995,0.0007741987861498833,-21.31824499455964,4541.949422874146,2,-74.91470854024169,-73.99163161716477,-73.36953109576213,27.369269823597428,51.695797523117484,-76.3500484648959,-70.94033035276439,1.2823300376728946,7.824010876322112,0.15036731115519733,-75.35933473960051,-73.40333202051998,-71.44732930143945,-67.5353238632784
ok,early_seir_infected_only,seir,sir,SIR,6,infected,0.02,16,2,-36.671269348236585,-73.76943507681752,True,162,1.689142899995204,0.00010433185872348283,7.884707233973664,7466.238284904412,2,-69.76943507681752,-68.8463581537406,-68.22425763233795,94.59460423094072,83.57890158567157,-71.42043740991211,-65.78093505348457,1.174498833452704,7.561603642988603,0.42689638034434524,-70.51303285690277,-68.62263194615562,-66.73223103540846,-62.95142921391417
ok,early_seir_infected_only,seir,sir,SIR,7,infected,0.02,16,2,-45.7750870916489,-91.62088845490669,True,160,9.693322799997986,0.0023243349030131095,-27.78640988461794,3716.378101033276,2,-87.62088845490669,-86.69781153182977,-86.07571101042713,-78.18798444940704,4.688388923222917,-88.98108588322037,-83.69434856778318,1.3199012858431607,7.8558256155146235,0.07071427160888885,-87.96134503530816,-85.9973886314295,-84.03343222755085,-80.10551941979354
ok,early_seir_infected_only,seir,sir,SIR,8,infected,0.02,16,2,-45.05032935354944,-90.24241613966824,True,161,9.921927000003052,0.00011820862625574207,-28.08525176589907,3824.2342067678273,2,-86.24241613966824,-85.31933921659132,-84.69723869518867,52.90431710194798,69.25665679026693,-87.52394808311246,-81.98193200942826,1.359234028277887,8.118726697670605,0.1417574325693604,-86.47381920198042,-84.44413752756277,-82.41445585314511,-78.35509250430981
ok,early_seir_infected_only,seir,sir,SIR,9,infected,0.02,16,2,-40.634691134801315,-81.36579754213501,True,157,4.81569020000461,0.004985784585963104,-22.970905072542017,1784.2854940421967,2,-77.36579754213501,-76.4427206190581,-75.82062009765545,-54.705894041860155,12.647691539869669,-78.25999255749046,-72.76193197748867,1.552902492322274,8.507450292113965,0.0964152725323758,-77.06023760518423,-74.93337503215574,-72.80651245912725,-68.55278731307027
ok,early_seir_infected_only,seir,sir,SIR,10,infected,0.02,16,2,-42.22481922475672,-84.58847623264373,True,160,4.905839200000628,0.0008783184464937052,-25.71852919337404,4428.90138237377,2,-80.58847623264373,-79.66539930956681,-79.04329878816417,29.07102592104219,54.32044576065153,-82.01292656350013,-76.61653072008458,1.2877748345718014,7.833107729428867,0.13883778313028622,-81.01800624952575,-79.05972931716853,-77.10145238481132,-73.1848985200969
ok,early_seir_infected_only,seir,sir,SIR,11,infected,0.02,16,2,-41.382994888546925,-82.93023586150667,True,158,4.795170600002166,8.018397641185243e-05,-11.271624421937595,4060.1981956605973,2,-78.93023586150667,-78.00715893842975,-77.38505841702711,30.75074590976135,55.079043258200926,-80.24676277899829,-74.69112255845567,1.341736541254191,8.074867218638172,0.1642460844128204,-79.2101522590083,-77.19143545434875,-75.17271864968922,-71.13528504037012
